CONTINENTAL ANCESTRIES:

African	                AFR
American	        AMR
Central_South_Asian	CSA
East_Asian	        EAS
European	        EUR
Middle_Eastern	        MID
Oceanian	        OCE


SUB-ANCEATRIES:

African_Caribbean	acb
Adygei	adygei
African_American	asw
Balochi	balochi
Bantu_Kenya	bantukenya
Bantu_South_Africa	bantusafrica
Basque	basque
Bengali	beb
Bedouin	bedouin
Biaka	biakapygmy
Brahui	brahui
Burusho	burusho
Cambodian	cambodian
Utah	ceu
Colombian	colombian
Dai	dai
Daur	daur
Druze	druze
Esan	esn
Finnish	fin
French	french
British	gbr
Gujarati	gih
Gambian	gwd
Han	han
Hazara	hazara
Hezhen	hezhen
Iberian	ibs
Italian	italian
Indian	itu
Japanese	japanese
Kalash	kalash
Karitiana	karitiana
Kinh	khv
Lahu	lahu
Luhya	lwk
Makrani	makrani
Mandenka	mandenka
Maya	maya
Mbuti	mbutipygmy
Melanesian	melanesian
Miaozu	miaozu
Mongola	mongola
Mozabite	mozabite
Mende	msl
Mexican	mxl
Naxi	naxi
Orcadian	orcadian
Oroqen	oroqen
Palestinian	palestinian
Papuan	papuan
Pathan	pathan
Peruvian	pel
Pima	pima
Punjabi	pjl
Puerto Rican	pur
Russian	russian
San	san
Sardinian	sardinian
She	she
Sindhi	sindhi
Sri_Lankan	stu
Surui	surui
Tu	tu
Tujia	tujia
Tuscan	tuscan
Uygur	uygur
Xibo	xibo
Yakut	yakut
Yizu	yizu
Yoruba	yoruba
